# file...... outputFiles/overhead_line:power_in_B.csv
# date...... Mon Apr  4 09:07:19 2016
# user...... mlunacek
# host...... (null)
# group..... class=overhead_line
# property.. power_in_B
# limit..... 0
# interval.. 60
# timestamp,line_6,line_0,line_8,line_7,line_3,line_2,line_5,line_4,line_10
2013-07-01 04:10:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-5.08975e-09-4.42713e-09j,-0+0j,+0+0j
2013-07-01 04:11:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+9.90372e-10+9.36255e-10j,-0+0j,+0+0j
2013-07-01 04:12:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-4.13031e-09+4.61948e-10j,-0+0j,+0+0j
2013-07-01 04:13:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-7.2395e-09-1.19469e-10j,-0+0j,+0+0j
2013-07-01 04:14:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+2.32487e-09+3.66927e-09j,-0+0j,+0+0j
2013-07-01 04:15:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-4.07109e-09-2.70245e-09j,-0+0j,+0+0j
2013-07-01 04:16:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+3.92651e-09-3.44896e-09j,-0+0j,+0+0j
2013-07-01 04:17:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-7.26394e-10+8.29311e-09j,-0+0j,+0+0j
2013-07-01 04:18:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+1.61613e-09+1.0235e-08j,-0+0j,+0+0j
2013-07-01 04:19:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+7.07598e-09+2.23316e-09j,-0+0j,+0+0j
2013-07-01 04:20:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+2.15174e-09-3.10761e-10j,-0+0j,+0+0j
2013-07-01 04:21:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,+4.70034e-09+3.93782e-09j,-0+0j,+0+0j
2013-07-01 04:22:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-1.90701e-09-2.64732e-09j,-0+0j,+0+0j
2013-07-01 04:23:00 UTC,+292899+135417j,+97306.3+92350j,+143961+8300.38j,+849615+596102j,+461644+342362j,+441673+316252j,-1.75686e-09-1.54899e-09j,-0+0j,+0+0j
