# file...... outputFiles/transformer:power_in_C.csv
# date...... Mon Apr  4 09:07:19 2016
# user...... mlunacek
# host...... (null)
# group..... class=transformer
# property.. power_in_C
# limit..... 0
# interval.. 60
# timestamp,transformer_0,transformer_1,transformer_2,transformer_3,transformer_4,transformer_5,transformer_6,transformer_8,transformer_10,transformer_11,transformer_12,transformer_13,transformer_14,transformer_15,transformer_16,transformer_18,transformer_20
2013-07-01 17:15:00 UTC,+111578+97831j,+0+0j,+18195.2+5496.33j,+0+0j,+0+0j,+16043.9+4865.57j,+0+0j,+0+0j,+0+0j,+0+0j,+14636.4+5209.36j,+0+0j,+0+0j,+13217.5+3928.6j,+0+0j,+18195.2+5496.32j,+18135.3+5468.36j
2013-07-01 17:16:00 UTC,+111577+97828j,+0+0j,+18200.9+5498.98j,+0+0j,+0+0j,+16047.1+4867j,+0+0j,+0+0j,+0+0j,+0+0j,+14635.7+5208.02j,+0+0j,+0+0j,+13221.9+3930.5j,+0+0j,+15723.2+4719.31j,+15670.8+4695.5j
2013-07-01 17:17:00 UTC,+111562+97818.1j,+0+0j,+15717.2+4718.77j,+0+0j,+0+0j,+16039.5+4865.8j,+0+0j,+0+0j,+0+0j,+0+0j,+14622.5+5200.66j,+0+0j,+0+0j,+10744.9+3155.15j,+0+0j,+15717.2+4718.76j,+15664.9+4694.97j
2013-07-01 17:18:00 UTC,+111562+97818.8j,+0+0j,+15716.1+4718.29j,+0+0j,+0+0j,+16038.8+4865.49j,+0+0j,+0+0j,+0+0j,+0+0j,+14622.6+5200.94j,+0+0j,+0+0j,+10744.1+3154.83j,+0+0j,+15716.1+4718.28j,+15663.8+4694.49j
2013-07-01 17:19:00 UTC,+111561+97816.7j,+0+0j,+15718.8+4719.52j,+0+0j,+0+0j,+16040.7+4866.35j,+0+0j,+0+0j,+0+0j,+0+0j,+14622.1+5200.02j,+0+0j,+0+0j,+10746.1+3155.64j,+0+0j,+13242.4+3941.12j,+15666.5+4695.72j
2013-07-01 17:20:00 UTC,+111560+97813.9j,+0+0j,+15723+4721.43j,+0+0j,+0+0j,+16043.5+4867.63j,+0+0j,+0+0j,+0+0j,+0+0j,+14621.4+5198.75j,+0+0j,+0+0j,+10749.2+3156.95j,+0+0j,+13246+3942.72j,+10731.3+3149.46j
2013-07-01 17:21:00 UTC,+111559+97813j,+0+0j,+13248.1+3943.62j,+0+0j,+0+0j,+18563.1+5671.4j,+0+0j,+0+0j,+0+0j,+0+0j,+14621.2+5198.38j,+0+0j,+0+0j,+10751+3157.67j,+0+0j,+10770.8+3165.94j,+10733+3150.19j
2013-07-01 17:22:00 UTC,+111548+97809.6j,+0+0j,+13236.1+3939.96j,+0+0j,+0+0j,+18546.7+5666.57j,+0+0j,+0+0j,+0+0j,+0+0j,+14609.4+5193.83j,+0+0j,+0+0j,+13212.5+3929.63j,+0+0j,+10761.4+3163.11j,+10723.7+3147.37j
2013-07-01 17:23:00 UTC,+111548+97809j,+0+0j,+13236.7+3940.23j,+0+0j,+0+0j,+16031.3+4864.31j,+0+0j,+0+0j,+0+0j,+0+0j,+14609.3+5193.58j,+0+0j,+0+0j,+13213.1+3929.9j,+0+0j,+10761.9+3163.33j,+10724.2+3147.58j
2013-07-01 17:24:00 UTC,+111546+97805.8j,+0+0j,+13239.7+3941.58j,+0+0j,+0+0j,+13517.8+4063.96j,+0+0j,+0+0j,+0+0j,+0+0j,+14608.5+5192.15j,+0+0j,+0+0j,+10744.8+3156.19j,+0+0j,+10764.6+3164.42j,+10726.8+3148.68j
2013-07-01 17:25:00 UTC,+111546+97806.6j,+0+0j,+13239.3+3941.39j,+0+0j,+0+0j,+13517.3+4063.77j,+0+0j,+0+0j,+0+0j,+0+0j,+14608.7+5192.5j,+0+0j,+0+0j,+10744.5+3156.03j,+0+0j,+10764.2+3164.27j,+10726.5+3148.53j
2013-07-01 17:26:00 UTC,+111546+97805.9j,+0+0j,+13239.8+3941.6j,+0+0j,+0+0j,+13517.8+4063.99j,+0+0j,+0+0j,+0+0j,+0+0j,+14608.5+5192.19j,+0+0j,+0+0j,+10744.9+3156.2j,+0+0j,+10764.6+3164.43j,+10726.9+3148.69j
2013-07-01 17:27:00 UTC,+111540+97802.7j,+0+0j,+15710+4718.82j,+0+0j,+0+0j,+13513.5+4062.92j,+0+0j,+0+0j,+0+0j,+0+0j,+14602.3+5189.3j,+0+0j,+0+0j,+10742+3155.56j,+0+0j,+10761.7+3163.78j,+8256.82+2376.19j
2013-07-01 17:28:00 UTC,+111541+97804.4j,+0+0j,+15707.9+4717.83j,+0+0j,+0+0j,+13512.1+4062.3j,+0+0j,+0+0j,+0+0j,+0+0j,+14602.7+5190.01j,+0+0j,+0+0j,+10740.4+3154.88j,+0+0j,+10760.1+3163.1j,+10722.4+3147.36j
2013-07-01 17:29:00 UTC,+111540+97803.2j,+0+0j,+13235.6+3940.57j,+0+0j,+0+0j,+13513.1+4062.73j,+0+0j,+0+0j,+0+0j,+0+0j,+14602.4+5189.49j,+0+0j,+0+0j,+10741.8+3155.45j,+0+0j,+10761.5+3163.67j,+10723.7+3147.93j
2013-07-01 17:30:00 UTC,+111540+97803.9j,+0+0j,+13235.1+3940.37j,+0+0j,+0+0j,+13512.6+4062.51j,+0+0j,+0+0j,+0+0j,+0+0j,+14602.6+5189.81j,+0+0j,+0+0j,+10741.4+3155.28j,+0+0j,+10761.1+3163.5j,+10723.3+3147.76j
2013-07-01 17:31:00 UTC,+111541+97805.2j,+0+0j,+13234+3939.89j,+0+0j,+0+0j,+16026.7+4863.31j,+0+0j,+0+0j,+0+0j,+0+0j,+14602.9+5190.37j,+0+0j,+0+0j,+10740.4+3154.89j,+0+0j,+10760.2+3163.12j,+10722.4+3147.38j
2013-07-01 17:32:00 UTC,+111529+97799.6j,+0+0j,+13224.7+3937.42j,+0+0j,+0+0j,+16014.8+4860.18j,+0+0j,+0+0j,+0+0j,+0+0j,+14590.6+5184.91j,+0+0j,+0+0j,+10733.4+3153.03j,+0+0j,+10753.1+3161.26j,+10715.4+3145.52j
